Current,Voltage,Speed,Temperature,Range,SOC,Remaining range
81.2690806038264,304.4893053495582,95.18566343559905,44.09389888300335,283.7229934116465,61.0,173.07102598110436
122.25215926450488,352.09307681757633,65.42957784895813,26.858590631250532,304.8629138648231,43.0,131.09105296187394
113.08070529715621,304.27211559125385,64.20758189360535,21.215759556184224,294.2980310062475,34.0,100.06133054212415
178.87729977820163,326.11503774153346,60.82986260698859,47.52547720623043,276.98962675754734,83.0,229.90139020876427
75.674233041751,422.52474227752396,92.79687195388043,21.006848162863527,351.8923885742887,71.0,249.84359588774498
100.82959409055505,373.0868036340113,126.13959125253655,43.69872502952077,320.68918231818026,21.0,67.34472828681785
90.57992499467468,348.7220674002779,20.741347009325242,22.760605236025583,316.22040849005083,29.0,91.70391846211474
153.65620256743944,407.58354055656457,132.26721813144565,34.259491320380015,339.30330267304754,33.0,111.9700898821057
83.06067749565884,424.9363736246049,63.99541356286759,26.64664299391424,358.92693652278103,21.0,75.37465666978402
171.792638080803,301.6154852785867,68.63574618074178,34.11660111020675,270.78922137624545,81.0,219.3392693147588
51.579031147416266,314.06524967480294,26.92479129429212,49.29301141266752,283.9383620414908,10.0,28.39383620414908
134.18055449944995,356.92876634874295,92.96947077079656,48.79592270388458,313.24801101229747,75.0,234.9360082592231
172.05892811227946,368.0794934536706,131.1602111282832,33.99950681947925,306.93553220523137,98.0,300.79682156112676
161.76504440882536,382.8637079341611,45.245596100056595,22.01076588993626,304.2454631508754,3.0,9.127363894526264
78.3667032890843,333.63941468209924,26.812454781437285,32.90389984441297,306.1116417361543,22.0,67.34456118195394
50.921129951914736,351.6642945171165,46.16597398733056,29.924895897369773,319.1840937662668,89.0,284.07384345197744
165.80658071668043,374.9583455268004,51.87346475628179,23.538679812792463,302.0672055001609,32.0,96.6615057600515
193.67482521399128,343.83810662547114,44.954766381340505,48.87729899290724,309.68747956486044,67.0,207.4906113084565
155.29068261414668,360.11517380398635,49.4936620812735,46.182234051425255,289.572002893699,67.0,194.01324193877835
94.63674002975758,449.73886750163206,71.16900706867304,33.67029226646632,363.02947743255,93.0,337.61741401227147
165.19891129333865,429.7068636504298,113.26550842397371,34.354674910528416,337.69385341456547,12.0,40.52326240974786
153.23274873389212,318.1513574055591,34.412427520736216,28.276174847858577,277.7112976091526,29.0,80.53627630665426
108.07752205715335,400.05834286209944,120.72610866481494,30.26155038532477,340.93599401967066,33.0,112.50887802649132
142.28087376395843,334.15003446615765,139.3237446018224,38.70912537963683,307.46272938543814,99.0,304.38810209158373
114.1332859766511,445.74708172435635,42.18058431313107,25.06081354959582,350.2803319748872,52.0,182.14577262694132
137.64344647353425,303.7687898529223,47.45840556217573,34.51512851961769,269.37269929064985,2.0,5.387453985812997
155.3953278298178,368.6378433048777,110.07517067080998,30.170714673831757,319.72285259671116,44.0,140.67805514255292
66.7842757825515,317.61091277096466,64.9783754589628,36.38279907078705,304.0514966430535,5.0,15.202574832152674
188.49048887666757,448.27967369186126,106.28434241923615,41.33342084942032,344.7396804546823,51.0,175.81723703188797
198.33294107949737,359.08179842417275,117.66286551390476,49.38117099529154,307.3171435273685,37.0,113.70734310512634
